#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2015-12-21-11-01-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1450466093.425202	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450466093.425622	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450466103.425250	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450467298.006490	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450467298.006872	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450467308.005692	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468044.216805	CxOD961mGL9hK08aB2	192.168.56.1	50292	192.168.56.12	22	data_before_established	-	F	bro
1450468070.964727	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468098.285909	CjUtzU1jvytA968CJk	192.168.56.1	50294	192.168.56.12	22	data_before_established	-	F	bro
1450468242.266987	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468286.061589	-	-	-	-	-	unknown_protocol_2	-	F	bro
1450468296.075269	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468296.075678	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468363.274980	CBFAGO1jGjWcwUVDC5	192.168.56.11	137	192.168.56.1	137	dns_unmatched_reply	-	F	bro
1450468373.275003	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468383.271989	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468403.272652	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468514.591201	C9a3BESlMwhrDJt15	192.168.56.11	34011	192.168.56.12	80	bad_TCP_checksum	-	F	bro
1450468529.194330	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1450468687.671094	Cx5E6m3CpLgRmL6kNc	192.168.56.1	50445	192.168.56.12	80	data_before_established	-	F	bro
1450468689.420376	Cke6fETjqQwbeyh1g	192.168.56.1	50446	192.168.56.12	80	data_before_established	-	F	bro
1450468689.424350	CjBZCebshUpX3RUvk	192.168.56.1	50447	192.168.56.12	80	data_before_established	-	F	bro
1450468689.424786	CNZXwC1gnBrMHt5mBg	192.168.56.1	50448	192.168.56.12	80	data_before_established	-	F	bro
1450468689.427806	C6SZdb2gNvmtzz1jk7	192.168.56.1	50449	192.168.56.12	80	data_before_established	-	F	bro
