01/07-06:32:17.319435 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10487,84,86016,8,0,1,100
01/07-06:32:17.319435 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10487,84,86016,8,0,1,100
01/07-06:32:18.320777 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10489,84,86016,8,0,1,101
01/07-06:32:18.320777 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10489,84,86016,8,0,1,101
01/07-06:32:19.322991 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10491,84,86016,8,0,1,102
01/07-06:32:19.322991 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10491,84,86016,8,0,1,102
01/07-06:32:20.325291 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10493,84,86016,8,0,1,103
01/07-06:32:20.325291 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10493,84,86016,8,0,1,103
01/07-06:32:21.326151 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10495,84,86016,8,0,1,104
01/07-06:32:21.326151 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10495,84,86016,8,0,1,104
01/07-06:32:22.328019 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10500,84,86016,8,0,1,105
01/07-06:32:22.328019 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10500,84,86016,8,0,1,105
01/07-06:32:23.330290 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10502,84,86016,8,0,1,106
01/07-06:32:23.330290 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10502,84,86016,8,0,1,106
